Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
191006,14:00,Bologna,Lazio,2,2,D,2,2,D,17,8,10,6,13,17,5,4,5,4,1
191006,14:00,Roma,Cagliari,1,1,D,1,1,D,17,6,8,3,17,11,7,1,1,4,0
191006,17:00,Torino,Napoli,0,0,D,0,0,D,11,10,6,3,11,12,4,5,1,2,0
191006,19:45,Inter,Juventus,1,2,A,1,1,D,6,8,4,6,22,8,7,2,2,3,0
191019,14:00,Lazio,Atalanta,3,3,D,0,3,A,12,18,5,9,13,12,3,1,5,2,0
191019,17:00,Napoli,Verona,2,0,H,1,0,H,13,14,7,6,12,16,6,8,3,3,0
191019,19:45,Juventus,Bologna,2,1,H,1,1,D,13,7,11,4,15,18,8,5,2,3,0
191020,11:30,Sassuolo,Inter,3,4,A,1,3,A,7,10,4,7,14,17,5,7,4,3,0
191020,14:00,Cagliari,Spal,2,0,H,1,0,H,13,8,7,5,16,15,6,6,4,5,0
191020,14:00,Sampdoria,Roma,0,0,D,0,0,D,7,5,2,1,14,11,7,9,3,4,0
191020,14:00,Udinese,Torino,1,0,H,1,0,H,10,8,6,5,15,20,6,4,3,3,0
191020,17:00,Parma,Genoa,5,1,H,3,0,H,15,11,7,6,9,12,3,7,1,2,0
191020,19:45,Milan,Lecce,2,2,D,1,0,H,18,11,8,7,13,12,8,2,1,2,0
191021,19:45,Brescia,Fiorentina,0,0,D,0,0,D,3,10,1,6,10,16,6,9,0,3,0
191025,19:45,Verona,Sassuolo,0,1,A,0,0,D,7,9,5,5,18,13,9,6,5,5,0
191026,14:00,Lecce,Juventus,1,1,D,0,0,D,9,16,5,6,11,13,3,14,4,1,0
191026,17:00,Inter,Parma,2,2,D,1,2,A,16,10,7,5,9,11,11,4,3,2,0
191026,19:45,Genoa,Brescia,3,1,H,0,1,A,12,4,11,2,24,14,5,3,6,4,0
191027,11:30,Bologna,Sampdoria,2,1,H,0,0,D,10,5,6,3,14,18,11,5,1,3,0
191027,14:00,Atalanta,Udinese,7,1,H,3,1,H,23,6,16,3,10,5,6,2,2,3,0
191027,14:00,Spal,Napoli,1,1,D,1,1,D,5,9,3,4,16,14,4,4,4,1,0
191027,14:00,Torino,Cagliari,1,1,D,0,1,A,8,10,5,5,15,11,6,11,2,3,0
191027,17:00,Roma,Milan,2,1,H,1,0,H,10,8,5,4,12,17,4,8,4,5,0
191027,19:45,Fiorentina,Lazio,1,2,A,1,1,D,9,11,3,8,12,13,7,3,5,3,1
191029,18:00,Parma,Verona,0,1,A,0,1,A,15,6,7,2,13,16,12,3,1,5,0
191029,20:00,Brescia,Inter,1,2,A,0,1,A,6,6,5,2,14,18,9,8,4,3,0
191030,18:00,Napoli,Atalanta,2,2,D,1,1,D,15,12,11,6,16,14,2,3,3,3,0
191030,20:00,Cagliari,Bologna,3,2,H,0,1,A,12,6,5,3,15,20,4,1,2,1,0
191030,20:00,Juventus,Genoa,2,1,H,1,1,D,18,7,11,3,24,11,10,2,5,3,1
191030,20:00,Lazio,Torino,4,0,H,2,0,H,16,6,8,3,11,9,8,0,2,2,0
191030,20:00,Sampdoria,Lecce,1,1,D,0,1,A,15,9,6,4,19,14,9,5,4,4,0
191030,20:00,Sassuolo,Fiorentina,1,2,A,1,0,H,6,10,5,8,15,20,3,7,3,4,0
191030,20:00,Udinese,Roma,0,4,A,0,1,A,8,10,5,6,16,16,5,3,4,2,0
191031,20:00,Milan,Spal,1,0,H,0,0,D,10,5,6,2,17,21,7,6,4,4,0
191102,14:00,Roma,Napoli,2,1,H,1,0,H,13,12,7,6,23,14,10,4,5,3,1
191102,17:00,Bologna,Inter,1,2,A,0,0,D,8,11,3,9,12,24,2,7,3,4,0
191102,19:45,Torino,Juventus,0,1,A,0,0,D,7,14,4,10,22,16,11,6,4,2,0
191103,11:30,Atalanta,Cagliari,0,2,A,0,1,A,11,12,3,8,15,18,13,2,2,3,1
191103,14:00,Genoa,Udinese,1,3,A,1,1,D,10,13,2,5,11,13,8,5,0,2,0
191103,14:00,Lecce,Sassuolo,2,2,D,2,1,H,7,12,4,5,14,16,6,6,2,3,0
191103,14:00,Verona,Brescia,2,1,H,0,0,D,11,11,6,5,17,17,5,1,1,4,0
191103,17:00,Fiorentina,Parma,1,1,D,0,1,A,15,7,4,3,15,20,5,2,2,2,0
191103,19:45,Milan,Lazio,1,2,A,1,1,D,9,8,4,7,12,13,8,4,3,5,0
191104,19:45,Spal,Sampdoria,0,1,A,0,0,D,7,9,2,4,12,16,8,5,3,1,0
191108,19:45,Sassuolo,Bologna,3,1,H,1,0,H,13,9,8,7,16,17,4,4,2,6,0
191109,14:00,Brescia,Torino,0,4,A,0,2,A,5,12,3,7,18,17,4,4,5,3,1
191109,17:00,Inter,Verona,2,1,H,0,1,A,19,5,13,2,14,11,9,3,3,1,0
191109,19:45,Napoli,Genoa,0,0,D,0,0,D,13,8,8,3,15,19,5,2,1,4,0
191110,11:30,Cagliari,Fiorentina,5,2,H,3,0,H,12,10,8,7,12,15,5,6,1,3,0
191110,14:00,Lazio,Lecce,4,2,H,1,1,D,17,18,7,10,8,10,9,3,2,3,0
191110,14:00,Sampdoria,Atalanta,0,0,D,0,0,D,5,7,2,3,19,13,1,7,2,4,0
191110,14:00,Udinese,Spal,0,0,D,0,0,D,11,10,4,4,14,14,3,7,3,5,0
